Player,Year,Brand,Set,Card Number,Sport,Team,Condition,Graded By,Grade,Purchase Price,Current Value,Image Path,Notes
Bryan King,2025,Topps,Base,,Baseball,Houston Astros,Near Mint,,,,,.images/IMG_8261.jpeg,Rookie Card; Foil Parallel
Kevin Durant,2020,Panini,Illusions,,Basketball,Brooklyn Nets,Near Mint,,,,,.images/IMG_8262.jpeg,
Mickey Mantle,2024,Topps,1989 Topps Retro,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8263.jpeg,35th Anniversary Insert
Andrew McCutchen,2024,Topps,1989 Topps Retro,,Baseball,Pittsburgh Pirates,Near Mint,,,,,.images/IMG_8264.jpeg,Game-Used Memorabilia Relic; 35th Anniversary
James Wood,2024,Topps,Big League,,Baseball,Washington Nationals,Near Mint,,,,,.images/IMG_8265.jpeg,Rookie Card
Elly De La Cruz,2024,Topps,Intricacies,,Baseball,Cincinnati Reds,Near Mint,,,,,.images/IMG_8266.jpeg,Insert
Byron Buxton,2024,Panini,Prizm Star Gazing,,Baseball,Minnesota Twins,Near Mint,,,,,.images/IMG_8267.jpeg,Star Gazing Insert
Salvador Perez,2025,Topps,Stars of MLB,,Baseball,Kansas City Royals,Near Mint,,,,,.images/IMG_8268.jpeg,Insert
Cody Poteet,2025,Topps,Base,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8269.jpeg,
Bobby Witt Jr.,2024,Topps,1989 Topps Retro,,Baseball,Kansas City Royals,Near Mint,,,,,.images/IMG_8270.jpeg,35th Anniversary Insert; Foil Parallel
Alex Rodriguez,2006,Topps,Base,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8271.jpeg,Most Valuable Player 2005 American League
Elly De La Cruz,2024,Topps,All-Star Game,,Baseball,Cincinnati Reds,Near Mint,,,,,.images/IMG_8272.jpeg,Foil Parallel
Paul Skenes,2024,Topps,Big League,,Baseball,Pittsburgh Pirates,Near Mint,,,,,.images/IMG_8273.jpeg,
Mickey Moniak,2025,Topps,Base,,Baseball,Colorado Rockies,Near Mint,,,,,.images/IMG_8274.jpeg,Camo Parallel
Angel Martinez,2024,Topps,Chrome Cosmic,,Baseball,Cleveland Guardians,Near Mint,,,,,.images/IMG_8275.jpeg,Rookie Card; Cosmic Insert
Jose Altuve,2024,Topps,Chrome Cosmic,,Baseball,Houston Astros,Near Mint,,,,,.images/IMG_8276.jpeg,Cosmic Insert
Roki Sasaki,2025,Topps,Base,,Baseball,Los Angeles Dodgers,Near Mint,,,,,.images/IMG_8277.jpeg,Rookie Card; Rookie Debut 3/19/2025
Derek Jeter,2025,Topps,Legends Unite,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8278.jpeg,Foil Parallel; Insert
Shohei Ohtani,2025,Topps,Rising Sons,,Baseball,Los Angeles Dodgers,Near Mint,,,,,.images/IMG_8279.jpeg,Insert; Japanese Pair Rules L.A.
Max Scherzer,2024,Topps,Chrome Cosmic,,Baseball,Texas Rangers,Near Mint,,,,,.images/IMG_8280.jpeg,Cosmic Insert
Mark McGwire,1999,Topps,Bleacher Reachers,,Baseball,St. Louis Cardinals,Near Mint,,,,,.images/IMG_8281.jpeg,Bleacher Reachers Insert
Jazz Chisholm Jr.,2024,Topps,Chrome Light Speed,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8282.jpeg,Light Speed Insert
Elly De La Cruz,2025,Topps,Red Hot Risers,,Baseball,Cincinnati Reds,Near Mint,,,,,.images/IMG_8283.jpeg,Insert; Duo Embodies Young Core
