Player,Year,Brand,Set,Card Number,Sport,Team,Condition,Graded By,Grade,Purchase Price,Current Value,Image Path,Notes
Junior Noboa,1992,Topps,Stadium Club,,Baseball,New York Mets,Near Mint,,,,,.images/IMG_8321.jpeg,
Scott Scudder,1992,Topps,Stadium Club,,Baseball,Cleveland Indians,Near Mint,,,,,.images/IMG_8322.jpeg,
Randy Myers,1992,Topps,Stadium Club,,Baseball,San Diego Padres,Near Mint,,,,,.images/IMG_8323.jpeg,
Denis Boucher,1992,Topps,Stadium Club,,Baseball,Cleveland Indians,Near Mint,,,,,.images/IMG_8324.jpeg,
Will Clark,1989,Topps,Big Baseball,,Baseball,San Francisco Giants,Near Mint,,,,,.images/IMG_8325.jpeg,
Bob Ojeda,1989,Topps,Big Baseball,,Baseball,New York Mets,Near Mint,,,,,.images/IMG_8326.jpeg,
Larry Owen,1989,Topps,Big Baseball,,Baseball,Kansas City Royals,Near Mint,,,,,.images/IMG_8327.jpeg,
Rafael Palmeiro,1989,Topps,Big Baseball,,Baseball,Chicago Cubs,Near Mint,,,,,.images/IMG_8328.jpeg,
Rick Dempsey,1989,Topps,Big Baseball,,Baseball,Los Angeles Dodgers,Near Mint,,,,,.images/IMG_8329.jpeg,
Argenis Salazar,1989,Topps,Big Baseball,,Baseball,Chicago Cubs,Near Mint,,,,,.images/IMG_8330.jpeg,
Eric King,1989,Topps,Big Baseball,,Baseball,Detroit Tigers,Near Mint,,,,,.images/IMG_8331.jpeg,
Dante Bichette,1989,Topps,Big Baseball,,Baseball,California Angels,Near Mint,,,,,.images/IMG_8332.jpeg,
Greg Maddux,1989,Topps,Big Baseball,,Baseball,Chicago Cubs,Near Mint,,,,,.images/IMG_8333.jpeg,
Spike Owen,1989,Topps,Big Baseball,,Baseball,Boston Red Sox,Near Mint,,,,,.images/IMG_8334.jpeg,
Mickey Hatcher,1989,Topps,Big Baseball,,Baseball,Los Angeles Dodgers,Near Mint,,,,,.images/IMG_8335.jpeg,
Bobby Bonilla,1989,Topps,Big Baseball,,Baseball,Pittsburgh Pirates,Near Mint,,,,,.images/IMG_8336.jpeg,"All-Star National League 3B"
Don Mattingly,1989,Topps,Big Baseball,,Baseball,New York Yankees,Very Fine,,,,,.images/IMG_8337.jpeg,"All-Star American League 1B"
Barry Bonds,1989,Topps,Big Baseball,,Baseball,Pittsburgh Pirates,Near Mint,,,,,.images/IMG_8338.jpeg,
Bobby Bonilla,1989,Topps,Big Baseball,,Baseball,Pittsburgh Pirates,Near Mint,,,,,.images/IMG_8339.jpeg,
Ron Kittle,1989,Topps,Big Baseball,,Baseball,Cleveland Indians,Near Mint,,,,,.images/IMG_8340.jpeg,
John Kruk,1993,Leaf,Leaf,,Baseball,Philadelphia Phillies,Near Mint,,,,,.images/IMG_8341.jpeg,"1B/OF"
Bill Long,1989,Fleer,Fleer,,Baseball,Chicago White Sox,Near Mint,,,,,.images/IMG_8342.jpeg,"Pitcher"
Roberto Kelly,1989,Fleer,Fleer,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8343.jpeg,"Outfield"
Derek Bell,1992,Score,Score,,Baseball,Toronto Blue Jays,Near Mint,,,,,.images/IMG_8344.jpeg,"Rookie Prospect; Outfield"
Walt Weiss,1992,Score,Score,,Baseball,Oakland Athletics,Near Mint,,,,,.images/IMG_8345.jpeg,"Shortstop"
Joaquin Andujar,1988,Score,Score,,Baseball,Houston Astros,Near Mint,,,,,.images/IMG_8346.jpeg,"Pitcher"
Otis Nixon,1990,Bowman,Bowman,,Baseball,Montreal Expos,Near Mint,,,,,.images/IMG_8347.jpeg,
Bret Saberhagen,1990,Bowman,Bowman,,Baseball,Kansas City Royals,Near Mint,,,,,.images/IMG_8348.jpeg,
Steve Avery,1990,Bowman,Bowman,,Baseball,Atlanta Braves,Near Mint,,,,,.images/IMG_8349.jpeg,
Charles Barkley,1990,NBA Hoops,Hoops,,Basketball,Philadelphia 76ers,Near Mint,,,,,.images/IMG_8350.jpeg,"Forward"
Larry Johnson,1992,NBA Hoops,Hoops,,Basketball,Charlotte Hornets,Near Mint,,,,,.images/IMG_8351.jpeg,"Forward"
Tim Hardaway,1990,NBA Hoops,Hoops,,Basketball,Golden State Warriors,Near Mint,,,,,.images/IMG_8352.jpeg,"Rookie Card; Guard"
Charles Barkley,1991,SkyBox,SkyBox,,Basketball,Philadelphia 76ers,Near Mint,,,,,.images/IMG_8353.jpeg,"NBA All-Star Weekend Highlight"
Kendall Gill,1992,SkyBox,SkyBox,,Basketball,Charlotte Hornets,Very Fine,,,,,.images/IMG_8354.jpeg,
Scottie Pippen,1990,NBA Hoops,Hoops,,Basketball,Chicago Bulls,Near Mint,,,,,.images/IMG_8355.jpeg,"Forward"
Gregg Olson,1990,Upper Deck,Upper Deck,,Baseball,Baltimore Orioles,Near Mint,,,,,.images/IMG_8356.jpeg,
Roger Clemens,1992,Topps,Stadium Club,,Baseball,Boston Red Sox,Near Mint,,,,,.images/IMG_8357.jpeg,
Wade Boggs,1992,Topps,Stadium Club,,Baseball,Boston Red Sox,Near Mint,,,,,.images/IMG_8358.jpeg,
Ken Griffey Jr.,1993,Donruss,Triple Play,,Baseball,Seattle Mariners,Near Mint,,,,,.images/IMG_8359.jpeg,"CF"
Bobby Bonilla,1993,Topps,Stadium Club,,Baseball,New York Mets,Near Mint,,,,,.images/IMG_8360.jpeg,"Members Choice"
Roger Clemens,1992,Topps,Stadium Club,,Baseball,Boston Red Sox,Near Mint,,,,,.images/IMG_8361.jpeg,
Sammy Sosa,1992,Score,Score,,Baseball,Chicago White Sox,Near Mint,,,,,.images/IMG_8362.jpeg,
Kevin Maas,1992,Topps,Stadium Club,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8363.jpeg,
Brian McRae,1992,Topps,Stadium Club,,Baseball,Kansas City Royals,Near Mint,,,,,.images/IMG_8364.jpeg,
Will Clark,1992,Fleer,All-Stars,,Baseball,San Francisco Giants,Near Mint,,,,,.images/IMG_8365.jpeg,
Cecil Fielder,1991,Upper Deck,Silver Slugger,,Baseball,Detroit Tigers,Near Mint,,,,,.images/IMG_8366.jpeg,
Ivan Rodriguez,1992,Fleer,Ultra,,Baseball,Texas Rangers,Near Mint,,,,,.images/IMG_8367.jpeg,"Rookie card"
Craig Biggio,1992,Topps,Stadium Club,,Baseball,Houston Astros,Near Mint,,,,,.images/IMG_8368.jpeg,
Joe DiMaggio,,Topps,The MVP,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8369.jpeg,"Reprint/commemorative card"
Roy Jefferson,1972,Topps,,,Football,Washington Redskins,Very Fine,,,,,.images/IMG_8370.jpeg,"WR"
Bob Lilly,1972,Topps,,,Football,Dallas Cowboys,Very Fine,,,,,.images/IMG_8371.jpeg,"DT"
Ed Flanagan,1972,Topps,,,Football,Detroit Lions,Very Fine,,,,,.images/IMG_8372.jpeg,"C"
MacArthur Lane,1972,Topps,,,Football,Green Bay Packers,Very Fine,,,,,.images/IMG_8373.jpeg,"RB"
Dan Pastorini,1972,Topps,,,Football,Houston Oilers,Very Fine,,,,,.images/IMG_8374.jpeg,"QB"
Emmitt Thomas,1972,Topps,,,Football,Kansas City Chiefs,Very Fine,,,,,.images/IMG_8375.jpeg,"CB"
Roland McDole,1972,Topps,,,Football,Washington Redskins,Very Fine,,,,,.images/IMG_8376.jpeg,"DE"
Jim Butler,1972,Topps,,,Football,Atlanta Falcons,Very Fine,,,,,.images/IMG_8377.jpeg,"RB"
Dave Smith,1972,Topps,,,Football,Pittsburgh Steelers,Very Fine,,,,,.images/IMG_8378.jpeg,"WR"
Duane Thomas,1972,Topps,,,Football,Dallas Cowboys,Very Fine,,,,,.images/IMG_8379.jpeg,"RB"
Merlin Olsen,1972,Topps,,,Football,Los Angeles Rams,Very Fine,,,,,.images/IMG_8380.jpeg,"DT"
Tom Beer,1972,Topps,,,Football,New England Patriots,Very Fine,,,,,.images/IMG_8381.jpeg,"TE"
Dan Abramowicz,1972,Topps,,,Football,New Orleans Saints,Very Fine,,,,,.images/IMG_8382.jpeg,"WR"
Irv Goode,1972,Topps,,,Football,Buffalo Bills,Very Fine,,,,,.images/IMG_8383.jpeg,"C"
Errol Mann,1972,Topps,,,Football,Detroit Lions,Very Fine,,,,,.images/IMG_8384.jpeg,"K"
Larry Little,1972,Topps,,,Football,Miami Dolphins,Very Fine,,,,,.images/IMG_8385.jpeg,"G"
John Hadl,1972,Topps,Pro Action,,Football,San Diego Chargers,Very Fine,,,,,.images/IMG_8386.jpeg,
Don Horn,1972,Topps,Pro Action,,Football,Denver Broncos,Very Fine,,,,,.images/IMG_8387.jpeg,
Bubba Smith,1972,Topps,,,Football,Baltimore Colts,Very Fine,,,,,.images/IMG_8388.jpeg,"DE"
Mike McQueen,1971,Topps,,,Baseball,Atlanta Braves,Good,,,,,.images/IMG_8389.jpeg,"Autographed"
Andy Messersmith,1971,Topps,,,Baseball,California Angels,Good,,,,,.images/IMG_8390.jpeg,"Autographed"
Phil Niekro,1971,Topps,,,Baseball,Atlanta Braves,Good,,,,,.images/IMG_8391.jpeg,"Autographed"
Steve Kline,1971,Topps,,,Baseball,New York Yankees,Good,,,,,.images/IMG_8392.jpeg,"Autographed"
Gene Mauch,1971,Topps,,,Baseball,Montreal Expos,Good,,,,,.images/IMG_8393.jpeg,"Autographed; Manager card"
Alex Johnson / Tony Oliva / Carl Yastrzemski,1971,Topps,1970 American League Batting Leaders,,Baseball,,Good,,,,,.images/IMG_8394.jpeg,"League Leaders card"
Frank Howard / Boog Powell / Tony Conigliaro,1971,Topps,1970 American League RBI Leaders,,Baseball,,Good,,,,,.images/IMG_8395.jpeg,"League Leaders card"
Mike Compton,1971,Topps,,,Baseball,Philadelphia Phillies,Good,,,,,.images/IMG_8396.jpeg,"Autographed"
Jim Spencer,1971,Topps,,,Baseball,California Angels,Good,,,,,.images/IMG_8397.jpeg,"Autographed"
Billy Grabarkewitz,1971,Topps,,,Baseball,Los Angeles Dodgers,Good,,,,,.images/IMG_8398.jpeg,"Autographed"
Ken Brett,1971,Topps,,,Baseball,Boston Red Sox,Good,,,,,.images/IMG_8399.jpeg,"Autographed"
Jerry Crider,1971,Topps,,,Baseball,Chicago White Sox,Good,,,,,.images/IMG_8400.jpeg,"Autographed"
Cookie Rojas,1971,Topps,Base,,Baseball,Kansas City Royals,Good,,,,,.images/IMG_8401.jpeg,"Autographed"
Aurelio Monteagudo,1971,Topps,Base,,Baseball,Kansas City Royals,Good,,,,,.images/IMG_8402.jpeg,"Autographed"
Paul Casanova,1971,Topps,Base,,Baseball,Washington Senators,Good,,,,,.images/IMG_8403.jpeg,"Autographed"
Cesar Gutierrez,1971,Topps,Base,,Baseball,Detroit Tigers,Good,,,,,.images/IMG_8404.jpeg,"Autographed"
Cesar Gutierrez,1971,Topps,Base,,Baseball,Detroit Tigers,Good,,,,,.images/IMG_8405.jpeg,"Autographed"
Ken Henderson,1971,Topps,Base,,Baseball,San Francisco Giants,Good,,,,,.images/IMG_8406.jpeg,"Autographed"
Tom Grieve,1971,Topps,Base,,Baseball,Washington Senators,Good,,,,,.images/IMG_8407.jpeg,"Autographed"
Dave Duncan,1971,Topps,Base,,Baseball,Oakland Athletics,Good,,,,,.images/IMG_8408.jpeg,"Autographed"
,1971,Topps,Base,,Baseball,Cincinnati Reds,Good,,,,,.images/IMG_8409.jpeg,"1970 N.L. Playoffs - Reds Celebrate! World Series Bound!"
Steve Renko,1971,Topps,Base,,Baseball,Montreal Expos,Good,,,,,.images/IMG_8410.jpeg,"Autographed"
Rich Hebner,1971,Topps,Base,,Baseball,Pittsburgh Pirates,Good,,,,,.images/IMG_8411.jpeg,"Autographed"
Ed Stroud,1971,Topps,Base,,Baseball,Washington Senators,Good,,,,,.images/IMG_8412.jpeg,"Autographed"
Bill Russell,1971,Topps,Base,,Baseball,Los Angeles Dodgers,Good,,,,,.images/IMG_8413.jpeg,"Autographed"
Floyd Weaver,1971,Topps,Base,,Baseball,Chicago White Sox,Good,,,,,.images/IMG_8414.jpeg,"Autographed"
Bob Humphreys,1971,Topps,Base,,Baseball,Milwaukee Brewers,Good,,,,,.images/IMG_8415.jpeg,"Autographed"
Tommy Harper,1971,Topps,Base,,Baseball,Milwaukee Brewers,Good,,,,,.images/IMG_8416.jpeg,"Autographed"
Darold Knowles,1971,Topps,Base,,Baseball,Washington Senators,Good,,,,,.images/IMG_8417.jpeg,"Autographed"
Michael Jordan,1990,SkyBox,Base,,Basketball,Chicago Bulls,Near Mint,,,,,.images/IMG_8418.jpeg,
Michael Jordan,,Upper Deck,Scoring,,Basketball,Chicago Bulls,Good,,,,,.images/IMG_8419.jpeg,"Hologram card"
Lou Brock,1968,Topps,Base,,Baseball,St. Louis Cardinals,Good,,,,,.images/IMG_8420.jpeg,
Johnny Bench,1971,Topps,Base,,Baseball,Cincinnati Reds,Good,,,,,.images/IMG_8421.jpeg,"Autographed"
Tom Glavine,1992,Topps,Stadium Club,,Baseball,Atlanta Braves,Near Mint,,,,,.images/IMG_8422.jpeg,
Ken Griffey Jr.,1989,Upper Deck,Base,#1,Baseball,Seattle Mariners,Near Mint,,,,,.images/IMG_8423.jpeg,"Rookie Card"
Ken Griffey Jr.,1991,Upper Deck,Base,,Baseball,Seattle Mariners,Near Mint,,,,,.images/IMG_8424.jpeg,
Don Mattingly,1984,Topps,Base,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8425.jpeg,
Don Mattingly,1988,Topps,Base,,Baseball,New York Yankees,Near Mint,,,,,.images/IMG_8426.jpeg,
Ken Griffey Jr.,1989,Fleer,Base,,Baseball,Seattle Mariners,Near Mint,,,,,.images/IMG_8427.jpeg,"Rookie Card"
Reggie Jackson,1971,Topps,Base,,Baseball,Oakland Athletics,Good,,,,,.images/IMG_8428.jpeg,"Autographed"
Jerry DaVanon,1971,Topps,Base,,Baseball,St. Louis Cardinals,Good,,,,,.images/IMG_8429.jpeg,"Autographed"
Shaquille O'Neal,2003,Topps,Chrome - Call of Duty,,Basketball,Los Angeles Lakers,Near Mint,,,,,.images/IMG_8430.jpeg,
GG Jackson II,2023,Topps,Chrome,,Basketball,Memphis Grizzlies,Near Mint,,,,,.images/IMG_8431.jpeg,"Orange Refractor Parallel"
Ayo Dosunmu,2023,Topps,Chrome,,Basketball,Chicago Bulls,Near Mint,,,,,.images/IMG_8432.jpeg,"Red/White/Blue Parallel"
Luke Kennard,2023,Topps,Chrome,,Basketball,Memphis Grizzlies,Near Mint,,,,,.images/IMG_8433.jpeg,"Red/White/Blue Parallel"
Anthony Davis,2024,Topps,8-Bit Ballers,,Basketball,Dallas Mavericks,Near Mint,,,,,.images/IMG_8434.jpeg,"Insert"
Devin Booker,2023,Topps,Chrome,,Basketball,Phoenix Suns,Near Mint,,,,,.images/IMG_8435.jpeg,"Insert"
Kon Knueppel,2024,Topps,Clutch City Prospects,,Basketball,Charlotte Hornets,Near Mint,,,,,.images/IMG_8436.jpeg,"Rookie Card; Insert"
Larry Bird,2024,Topps,Chrome,,Basketball,Boston Celtics,Near Mint,,,,,.images/IMG_8437.jpeg,
Kon Knueppel,2024,Topps,Chrome,,Basketball,Charlotte Hornets,Near Mint,,,,,.images/IMG_8438.jpeg,"Rookie Card"
Danny Wolf,2024,Topps,Chrome,,Basketball,Brooklyn Nets,Near Mint,,,,,.images/IMG_8439.jpeg,"Rookie Card"
Dylan Harper,2024,Topps,Chrome,,Basketball,San Antonio Spurs,Near Mint,,,,,.images/IMG_8440.jpeg,"Rookie Card"
Joan Beringer,2024,Topps,Chrome,,Basketball,Minnesota Timberwolves,Near Mint,,,,,.images/IMG_8441.jpeg,"Rookie Card; Refractor Parallel"
Egor Demin,2024,Topps,Base,,Basketball,Brooklyn Nets,Near Mint,,,,,.images/IMG_8442.jpeg,"Rookie Card"
Ryan Kalkbrenner,2024,Topps,Base,,Basketball,Charlotte Hornets,Near Mint,,,,,.images/IMG_8443.jpeg,"Rookie Card"
