Player,Year,Brand,Set,Card Number,Sport,Team,Condition,Graded By,Grade,Purchase Price,Current Value,Image Path,Notes
Eric King,1989,Topps,Big Baseball,,Baseball,Detroit Tigers,Near Mint,,,,,,
Dante Bichette,1989,Topps,Big Baseball,,Baseball,California Angels,Near Mint,,,,,,
Greg Maddux,1989,Topps,Big Baseball,,Baseball,Chicago Cubs,Near Mint,,,,,,
Spike Owen,1989,Topps,Big Baseball,,Baseball,Boston Red Sox,Near Mint,,,,,,
Mickey Hatcher,1989,Topps,Big Baseball,,Baseball,Los Angeles Dodgers,Near Mint,,,,,,
Bobby Bonilla,1989,Topps,Big Baseball,,Baseball,Pittsburgh Pirates,Near Mint,,,,,,"All-Star National League 3B"
Don Mattingly,1989,Topps,Big Baseball,,Baseball,New York Yankees,Very Fine,,,,,,"All-Star American League 1B"
Barry Bonds,1989,Topps,Big Baseball,,Baseball,Pittsburgh Pirates,Near Mint,,,,,,
Bobby Bonilla,1989,Topps,Big Baseball,,Baseball,Pittsburgh Pirates,Near Mint,,,,,,
Ron Kittle,1989,Topps,Big Baseball,,Baseball,Cleveland Indians,Near Mint,,,,,,
John Kruk,1993,Leaf,Leaf,,Baseball,Philadelphia Phillies,Near Mint,,,,,,"1B/OF"
Bill Long,1989,Fleer,Fleer,,Baseball,Chicago White Sox,Near Mint,,,,,,"Pitcher"
Roberto Kelly,1989,Fleer,Fleer,,Baseball,New York Yankees,Near Mint,,,,,,"Outfield"
Derek Bell,1992,Score,Score,,Baseball,Toronto Blue Jays,Near Mint,,,,,,"Rookie Prospect; Outfield"
Walt Weiss,1992,Score,Score,,Baseball,Oakland Athletics,Near Mint,,,,,,"Shortstop"
Joaquin Andujar,1988,Score,Score,,Baseball,Houston Astros,Near Mint,,,,,,"Pitcher"
Otis Nixon,1990,Bowman,Bowman,,Baseball,Montreal Expos,Near Mint,,,,,,
Bret Saberhagen,1990,Bowman,Bowman,,Baseball,Kansas City Royals,Near Mint,,,,,,
Steve Avery,1990,Bowman,Bowman,,Baseball,Atlanta Braves,Near Mint,,,,,,
Charles Barkley,1990,NBA Hoops,Hoops,,Basketball,Philadelphia 76ers,Near Mint,,,,,,"Forward"
Larry Johnson,1992,NBA Hoops,Hoops,,Basketball,Charlotte Hornets,Near Mint,,,,,,"Forward"
Tim Hardaway,1990,NBA Hoops,Hoops,,Basketball,Golden State Warriors,Near Mint,,,,,,"Rookie Card; Guard"
Charles Barkley,1991,SkyBox,SkyBox,,Basketball,Philadelphia 76ers,Near Mint,,,,,,"NBA All-Star Weekend Highlight"
Kendall Gill,1992,SkyBox,SkyBox,,Basketball,Charlotte Hornets,Very Fine,,,,,,
Scottie Pippen,1990,NBA Hoops,Hoops,,Basketball,Chicago Bulls,Near Mint,,,,,,"Forward"
Gregg Olson,1990,Upper Deck,Upper Deck,,Baseball,Baltimore Orioles,Near Mint,,,,,,
Roger Clemens,1992,Topps,Stadium Club,,Baseball,Boston Red Sox,Near Mint,,,,,,
Wade Boggs,1992,Topps,Stadium Club,,Baseball,Boston Red Sox,Near Mint,,,,,,
Ken Griffey Jr.,1993,Donruss,Triple Play,,Baseball,Seattle Mariners,Near Mint,,,,,,"CF"
Bobby Bonilla,1993,Topps,Stadium Club,,Baseball,New York Mets,Near Mint,,,,,,"Members Choice"
Roger Clemens,1992,Topps,Stadium Club,,Baseball,Boston Red Sox,Near Mint,,,,,,
Sammy Sosa,1992,Score,Score,,Baseball,Chicago White Sox,Near Mint,,,,,,
Kevin Maas,1992,Topps,Stadium Club,,Baseball,New York Yankees,Near Mint,,,,,,
Brian McRae,1992,Topps,Stadium Club,,Baseball,Kansas City Royals,Near Mint,,,,,,
Will Clark,1992,Fleer,All-Stars,,Baseball,San Francisco Giants,Near Mint,,,,,,
Cecil Fielder,1991,Upper Deck,Silver Slugger,,Baseball,Detroit Tigers,Near Mint,,,,,,
Ivan Rodriguez,1992,Fleer,Ultra,,Baseball,Texas Rangers,Near Mint,,,,,,"Rookie card"
Craig Biggio,1992,Topps,Stadium Club,,Baseball,Houston Astros,Near Mint,,,,,,
Joe DiMaggio,,Topps,The MVP,,Baseball,New York Yankees,Near Mint,,,,,,"Reprint/commemorative card"
Roy Jefferson,1972,Topps,,,Football,Washington Redskins,Very Fine,,,,,,"WR"
Bob Lilly,1972,Topps,,,Football,Dallas Cowboys,Very Fine,,,,,,"DT"
Ed Flanagan,1972,Topps,,,Football,Detroit Lions,Very Fine,,,,,,"C"
MacArthur Lane,1972,Topps,,,Football,Green Bay Packers,Very Fine,,,,,,"RB"
Dan Pastorini,1972,Topps,,,Football,Houston Oilers,Very Fine,,,,,,"QB"
Emmitt Thomas,1972,Topps,,,Football,Kansas City Chiefs,Very Fine,,,,,,"CB"
Roland McDole,1972,Topps,,,Football,Washington Redskins,Very Fine,,,,,,"DE"
Jim Butler,1972,Topps,,,Football,Atlanta Falcons,Very Fine,,,,,,"RB"
Dave Smith,1972,Topps,,,Football,Pittsburgh Steelers,Very Fine,,,,,,"WR"
Duane Thomas,1972,Topps,,,Football,Dallas Cowboys,Very Fine,,,,,,"RB"
Merlin Olsen,1972,Topps,,,Football,Los Angeles Rams,Very Fine,,,,,,"DT"
Tom Beer,1972,Topps,,,Football,New England Patriots,Very Fine,,,,,,"TE"
Dan Abramowicz,1972,Topps,,,Football,New Orleans Saints,Very Fine,,,,,,"WR"
Irv Goode,1972,Topps,,,Football,Buffalo Bills,Very Fine,,,,,,"C"
Errol Mann,1972,Topps,,,Football,Detroit Lions,Very Fine,,,,,,"K"
Larry Little,1972,Topps,,,Football,Miami Dolphins,Very Fine,,,,,,"G"
John Hadl,1972,Topps,Pro Action,,Football,San Diego Chargers,Very Fine,,,,,,
Don Horn,1972,Topps,Pro Action,,Football,Denver Broncos,Very Fine,,,,,,
Bubba Smith,1972,Topps,,,Football,Baltimore Colts,Very Fine,,,,,,"DE"
Mike McQueen,1971,Topps,,,Baseball,Atlanta Braves,Good,,,,,,"Autographed"
Andy Messersmith,1971,Topps,,,Baseball,California Angels,Good,,,,,,"Autographed"
Phil Niekro,1971,Topps,,,Baseball,Atlanta Braves,Good,,,,,,"Autographed"
Steve Kline,1971,Topps,,,Baseball,New York Yankees,Good,,,,,,"Autographed"
Gene Mauch,1971,Topps,,,Baseball,Montreal Expos,Good,,,,,,"Autographed; Manager card"
Alex Johnson / Tony Oliva / Carl Yastrzemski,1971,Topps,1970 American League Batting Leaders,,Baseball,,Good,,,,,,"League Leaders card"
Frank Howard / Boog Powell / Tony Conigliaro,1971,Topps,1970 American League RBI Leaders,,Baseball,,Good,,,,,,"League Leaders card"
Mike Compton,1971,Topps,,,Baseball,Philadelphia Phillies,Good,,,,,,"Autographed"
Jim Spencer,1971,Topps,,,Baseball,California Angels,Good,,,,,,"Autographed"
Billy Grabarkewitz,1971,Topps,,,Baseball,Los Angeles Dodgers,Good,,,,,,"Autographed"
Ken Brett,1971,Topps,,,Baseball,Boston Red Sox,Good,,,,,,"Autographed"
Jerry Crider,1971,Topps,,,Baseball,Chicago White Sox,Good,,,,,,"Autographed"
Cookie Rojas,1971,Topps,Base,,Baseball,Kansas City Royals,Good,,,,,,"Autographed"
Aurelio Monteagudo,1971,Topps,Base,,Baseball,Kansas City Royals,Good,,,,,,"Autographed"
Paul Casanova,1971,Topps,Base,,Baseball,Washington Senators,Good,,,,,,"Autographed"
Cesar Gutierrez,1971,Topps,Base,,Baseball,Detroit Tigers,Good,,,,,,"Autographed"
Cesar Gutierrez,1971,Topps,Base,,Baseball,Detroit Tigers,Good,,,,,,"Autographed"
Ken Henderson,1971,Topps,Base,,Baseball,San Francisco Giants,Good,,,,,,"Autographed"
Tom Grieve,1971,Topps,Base,,Baseball,Washington Senators,Good,,,,,,"Autographed"
Dave Duncan,1971,Topps,Base,,Baseball,Oakland Athletics,Good,,,,,,"Autographed"
,1971,Topps,Base,,Baseball,Cincinnati Reds,Good,,,,,,"1970 N.L. Playoffs - Reds Celebrate! World Series Bound!"
Steve Renko,1971,Topps,Base,,Baseball,Montreal Expos,Good,,,,,,"Autographed"
Rich Hebner,1971,Topps,Base,,Baseball,Pittsburgh Pirates,Good,,,,,,"Autographed"
Ed Stroud,1971,Topps,Base,,Baseball,Washington Senators,Good,,,,,,"Autographed"
Bill Russell,1971,Topps,Base,,Baseball,Los Angeles Dodgers,Good,,,,,,"Autographed"
Floyd Weaver,1971,Topps,Base,,Baseball,Chicago White Sox,Good,,,,,,"Autographed"
Bob Humphreys,1971,Topps,Base,,Baseball,Milwaukee Brewers,Good,,,,,,"Autographed"
Tommy Harper,1971,Topps,Base,,Baseball,Milwaukee Brewers,Good,,,,,,"Autographed"
Darold Knowles,1971,Topps,Base,,Baseball,Washington Senators,Good,,,,,,"Autographed"
Michael Jordan,1990,SkyBox,Base,,Basketball,Chicago Bulls,Near Mint,,,,,,
Michael Jordan,,Upper Deck,Scoring,,Basketball,Chicago Bulls,Good,,,,,,"Hologram card"
Lou Brock,1968,Topps,Base,,Baseball,St. Louis Cardinals,Good,,,,,,
Johnny Bench,1971,Topps,Base,,Baseball,Cincinnati Reds,Good,,,,,,"Autographed"
Tom Glavine,1992,Topps,Stadium Club,,Baseball,Atlanta Braves,Near Mint,,,,,,
Ken Griffey Jr.,1989,Upper Deck,Base,#1,Baseball,Seattle Mariners,Near Mint,,,,,,"Rookie Card"
Ken Griffey Jr.,1991,Upper Deck,Base,,Baseball,Seattle Mariners,Near Mint,,,,,,
Don Mattingly,1984,Topps,Base,,Baseball,New York Yankees,Near Mint,,,,,,
Don Mattingly,1988,Topps,Base,,Baseball,New York Yankees,Near Mint,,,,,,
Ken Griffey Jr.,1989,Fleer,Base,,Baseball,Seattle Mariners,Near Mint,,,,,,"Rookie Card"
Reggie Jackson,1971,Topps,Base,,Baseball,Oakland Athletics,Good,,,,,,"Autographed"
Jerry DaVanon,1971,Topps,Base,,Baseball,St. Louis Cardinals,Good,,,,,,"Autographed"
Shaquille O'Neal,2003,Topps,Chrome - Call of Duty,,Basketball,Los Angeles Lakers,Near Mint,,,,,,
GG Jackson II,2023,Topps,Chrome,,Basketball,Memphis Grizzlies,Near Mint,,,,,,"Orange Refractor Parallel"
Ayo Dosunmu,2023,Topps,Chrome,,Basketball,Chicago Bulls,Near Mint,,,,,,"Red/White/Blue Parallel"
Luke Kennard,2023,Topps,Chrome,,Basketball,Memphis Grizzlies,Near Mint,,,,,,"Red/White/Blue Parallel"
Anthony Davis,2024,Topps,8-Bit Ballers,,Basketball,Dallas Mavericks,Near Mint,,,,,,"Insert"
Devin Booker,2023,Topps,Chrome,,Basketball,Phoenix Suns,Near Mint,,,,,,"Insert"
Kon Knueppel,2024,Topps,Clutch City Prospects,,Basketball,Charlotte Hornets,Near Mint,,,,,,"Rookie Card; Insert"
Larry Bird,2024,Topps,Chrome,,Basketball,Boston Celtics,Near Mint,,,,,,
Kon Knueppel,2024,Topps,Chrome,,Basketball,Charlotte Hornets,Near Mint,,,,,,"Rookie Card"
Danny Wolf,2024,Topps,Chrome,,Basketball,Brooklyn Nets,Near Mint,,,,,,"Rookie Card"
Dylan Harper,2024,Topps,Chrome,,Basketball,San Antonio Spurs,Near Mint,,,,,,"Rookie Card"
Joan Beringer,2024,Topps,Chrome,,Basketball,Minnesota Timberwolves,Near Mint,,,,,,"Rookie Card; Refractor Parallel"
Egor Demin,2024,Topps,Base,,Basketball,Brooklyn Nets,Near Mint,,,,,,"Rookie Card"
Ryan Kalkbrenner,2024,Topps,Base,,Basketball,Charlotte Hornets,Near Mint,,,,,,"Rookie Card"
